id,Y18
4752,20.930307
4753,20.591856
4754,20.338081
4755,19.971478
4756,19.732708
4757,19.541784
4758,19.634598
4759,19.402
4760,19.20139
4761,19.213814
4762,19.087883
4763,18.705223
4764,18.643217
4765,18.819475
4766,18.96479
4767,18.405682
4768,18.767004
4769,18.622444
4770,18.76032
4771,18.714537
4772,18.153587
4773,18.019276
4774,18.65374
4775,18.574467
4776,18.465866
4777,18.27095
4778,17.751497
4779,18.093746
4780,17.805214
4781,18.52107
4782,18.474638
4783,18.39415
4784,18.435684
4785,18.460724
4786,18.942215
4787,18.716343
4788,18.65728
4789,19.226223
4790,19.139532
4791,19.09293
4792,19.5785
4793,19.539791
4794,19.869862
4795,20.82108
4796,20.88871
4797,21.805187
4798,22.649374
4799,23.301382
4800,23.917015
4801,24.59055
4802,25.033295
4803,25.361984
4804,26.238544
4805,27.134388
4806,28.54881
4807,29.165705
4808,30.067541
4809,30.020275
4810,31.12529
4811,30.443695
4812,31.583563
4813,32.90568
4814,33.177814
4815,33.62708
4816,34.662663
4817,34.799744
4818,35.74076
4819,36.380863
4820,36.836254
4821,37.331512
4822,35.973663
4823,36.595512
4824,37.100414
4825,36.158
4826,37.485207
4827,36.979614
4828,35.97081
4829,36.45212
4830,36.383755
4831,35.397995
4832,36.671146
4833,36.739384
4834,37.025547
4835,36.699795
4836,35.76564
4837,35.350277
4838,35.537285
4839,35.53314
4840,34.6103
4841,35.17368
4842,34.93013
4843,34.395927
4844,34.307117
4845,33.806015
4846,32.88789
4847,32.30112
4848,32.196938
4849,32.079998
4850,32.732258
4851,32.867516
4852,32.86004
4853,32.92429
4854,31.867298
4855,30.906914
4856,31.42046
4857,31.361229
4858,31.309328
4859,30.995548
4860,31.175041
4861,29.422663
4862,29.210539
4863,29.108503
4864,28.880688
4865,27.67534
4866,27.740883
4867,27.049171
4868,26.590847
4869,25.883123
4870,25.373127
4871,25.073845
4872,24.94041
4873,24.752697
4874,24.436523
4875,24.4901
4876,24.365961
4877,24.40379
4878,24.030003
4879,23.864906
4880,23.554998
4881,23.250614
4882,23.18517
4883,22.986322
4884,22.585758
4885,23.328117
4886,24.10486
4887,24.279232
4888,24.545078
4889,23.255758
4890,23.182924
4891,22.820404
4892,22.534328
4893,22.30735
4894,22.544912
4895,21.611645
4896,21.661053
4897,21.838064
4898,21.04763
4899,20.143808
4900,19.258633
4901,19.752878
4902,19.337652
4903,18.959435
4904,18.694115
4905,19.142399
4906,18.962105
4907,18.982128
4908,19.003296
4909,18.920374
4910,18.81818
4911,18.315754
4912,17.947647
4913,17.842777
4914,17.953274
4915,18.160564
4916,18.30819
4917,18.432009
4918,18.670246
4919,18.82706
4920,18.556227
4921,18.849628
4922,18.399567
4923,18.242128
4924,17.939133
4925,17.65733
4926,17.435461
4927,17.968006
4928,17.858665
4929,18.361416
4930,18.38235
4931,18.976322
4932,19.014763
4933,19.064777
4934,19.014416
4935,19.381432
4936,19.575462
4937,19.998459
4938,20.170696
4939,20.760681
4940,20.532608
4941,21.010017
4942,22.014658
4943,22.96607
4944,25.229725
4945,26.656166
4946,27.636253
4947,28.253925
4948,28.870956
4949,29.380833
4950,29.69733
4951,30.425898
4952,30.796715
4953,30.598043
4954,30.691692
4955,30.794172
4956,31.114107
4957,31.47118
4958,31.43586
4959,31.369383
4960,31.854012
4961,31.441734
4962,33.05261
4963,33.607147
4964,33.909954
4965,34.500126
4966,34.945393
4967,35.93463
4968,35.754078
4969,35.485714
4970,35.265354
4971,34.301895
4972,34.26494
4973,33.167217
4974,33.19167
4975,32.332615
4976,33.380184
4977,32.268665
4978,31.394743
4979,32.472805
4980,33.330486
4981,32.581303
4982,33.09933
4983,32.599064
4984,32.85586
4985,32.44939
4986,32.084934
4987,32.267487
4988,32.344364
4989,32.15766
4990,31.87526
4991,30.997038
4992,30.899593
4993,30.454678
